url,Views,Date_Uploaded,Likes,Dislikes
https://www.youtube.com/watch?v=npi0DtY8a7I,"5,493 views",Streamed live 22 hours ago,263,35
https://www.youtube.com/watch?v=DqHctQwqgQ0,"2,749,504 views","Jan 8, 2020",75K,4.4K
https://www.youtube.com/watch?v=1UGxzkUTlsM,"4,489,740 views","Jul 13, 2018",74K,4.5K
https://www.youtube.com/watch?v=s0sx2BIhegE,"202,379 views","Jun 22, 2020",8.9K,385
https://www.youtube.com/watch?v=GSfeZWvCeBY,"326,134 views","Jun 26, 2020",10K,582
https://www.youtube.com/watch?v=iy2GoQjgjC8,"419,033 views","Feb 16, 2019",5.9K,1.3K
https://www.youtube.com/watch?v=yjmp8CoZBIo,"384,944,253 views","Jan 26, 2016",4.6M,88K
https://www.youtube.com/watch?v=5nX9uVBi95s,"124,146 views","Jul 31, 2020",11K,87
https://www.youtube.com/watch?v=97qO3g5MGmc,"17,601 views","Jul 31, 2020",2.3K,195
https://www.youtube.com/watch?v=FMo-6Ut76Hw,"874,444 views","Streamed live on Feb 15, 2020",22K,2.2K
https://www.youtube.com/watch?v=FsUP2aUeyWs,"60,568 views","Jul 30, 2020",1.1K,68
https://www.youtube.com/watch?v=cZx7Rr3iVvc,"2,075,440 views","Feb 23, 2014",7.9K,769
https://www.youtube.com/watch?v=jkh-zJmCoe8,"451,667 views","Sep 30, 2018",8.8K,377
https://www.youtube.com/watch?v=TpKmG7mDaDM,"893,372 views","Aug 9, 2018",18K,450
https://www.youtube.com/watch?v=oPf27gAup9U,"6,194,117 views","Mar 29, 2012",57K,2.1K
https://www.youtube.com/watch?v=8iFvfKwV2Zk,"221,240 views","Jul 30, 2020",6.6K,142
https://www.youtube.com/watch?v=54OCJssCR4M,"22,297 views","Jul 31, 2020",632,19
https://www.youtube.com/watch?v=1ES8jKUYJyQ,"130,941 views","Jul 30, 2020",3.1K,99
https://www.youtube.com/watch?v=ZQarso3FpcM,"388,639 views","Jul 31, 2020",31K,471
https://www.youtube.com/watch?v=1DGOI-u2gng,"111,333 views","Jul 30, 2020",2K,51
https://www.youtube.com/watch?v=o2b3NhptNKI,"258,347 views","Jul 30, 2020",5.5K,211
https://www.youtube.com/watch?v=ua-iIRQDY8g,"1,331,127 views","Jul 29, 2020",74K,3.3K
https://www.youtube.com/watch?v=OFPwDe22CoY,"21,605,678 views","Aug 30, 2012",196K,11K
https://www.youtube.com/watch?v=RlKJDwViNKs,"1,858,822 views","Aug 10, 2018",71K,950
https://www.youtube.com/watch?v=3SDkzDlw1yc,"4,796,988 views","May 16, 2019",151K,1.4K
https://www.youtube.com/watch?v=-7TwMUyWSE0,"2,060,684 views","Jan 31, 2018",51K,765
https://www.youtube.com/watch?v=mK53d6aIG48,"1,505,152 views","Oct 11, 2019",46K,750
https://www.youtube.com/watch?v=bkRgYRA7JnA,"155,678 views","Sep 16, 2018",2.5K,93
https://www.youtube.com/watch?v=1liSfxaqQ_A,"676,760 views","Apr 7, 2016",11K,368
https://www.youtube.com/watch?v=bLY45o6rHm0,"13,131,844 views","Mar 5, 2017",219K,10K
https://www.youtube.com/watch?v=lounJuTaiSc,"462,689 views","Apr 13, 2014",8K,202
https://www.youtube.com/watch?v=TgWd6wh6-cg,"35,373 views","Mar 19, 2017",794,167
https://www.youtube.com/watch?v=15Z1mtiJnyk,"2,410,412 views","Premiered Dec 29, 2019",119K,1.1K
